symbol,layer,entry_date,entry,exit_date,exit,ret,days,spy_ret,excess,open
MU,memory,2024-10-25,107.37,2024-10-28,105.86,-0.01408583307167266,3,0.003091318631785356,-0.017177151703458016,False
MU,memory,2024-10-29,107.64,2024-10-30,103.56,-0.03789985899566417,1,-0.00302512486502704,-0.03487473413063713,False
MU,memory,2024-11-06,111.27,2024-11-11,108.11,-0.028436011808445127,5,0.013061964863882114,-0.04149797667232724,False
MU,memory,2025-05-13,96.7,2025-05-23,93.15,-0.036727526006606004,10,-0.013172356797144014,-0.02355516920946199,False
MU,memory,2025-05-27,96.15,2025-05-30,94.23,-0.019921279448594342,3,-0.002977245050482802,-0.01694403439811154,False
ANET,networking,2024-03-20,74.14,2025-02-24,92.69,0.2501181015303757,341,0.15854048197344373,0.091577619556932,False
ANET,networking,2025-05-13,97.25,2025-05-21,92.43,-0.04956297886708705,8,-0.006782058478725039,-0.04278092038836201,False
ANET,networking,2025-06-06,97.25,2025-06-10,93.7,-0.03650388742167421,4,0.0065760568511918915,-0.0430799442728661,False
ANET,networking,2025-06-26,101.59,2026-03-03,124.6,0.22649870032181796,250,0.11826386038613523,0.10823483993568273,False
ANET,networking,2026-03-04,134.83,2026-03-26,122.55,-0.09107764305072108,22,-0.05586998799510157,-0.03520765505561951,False
ANET,networking,2026-04-08,145.07,2026-05-11,136.43,-0.059557552989763285,33,0.09362284154532952,-0.1531803945350928,False
COHR,networking,2024-03-20,60.01,2025-02-21,82.64,0.37710384437712907,338,0.16383637599790513,0.21326746837922395,False
LITE,networking,2024-03-25,51.08,2024-03-26,48.41,-0.052270984493569816,1,-0.0018469170456447692,-0.05042406744792505,False
LITE,networking,2024-05-20,47.19,2024-05-21,46.01,-0.02500530492721642,1,0.0024525339784411404,-0.02745783890565756,False
LITE,networking,2024-06-10,46.97,2024-06-11,45.47,-0.031935277006951424,1,0.002408453385426501,-0.034343730392377925,False
LITE,networking,2024-06-12,46.91,2024-08-02,44.33,-0.054998892021948076,51,-0.012451451741616437,-0.04254744028033164,False
